# Launch Canada 2024 Drag Coefficients

# Simulation 6 (Up to date)
# 1324 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (125 ft/s)
#
# Drag force (N),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
146.999,NaN
149.196,NaN
152.153,NaN
151.316,NaN
154.326,NaN
149.982,NaN
155.96,NaN
160.944,NaN
157.154,NaN
167.288,NaN
153.212,NaN
150.971,NaN
149.66,NaN
149.585,NaN
151.031,NaN
152.57,NaN
153.524,NaN
151.291,NaN
156.725,NaN
152.655,NaN
151.078,NaN
152.231,NaN
154.814,NaN
152.083,NaN
150.28,NaN
150.717,NaN
153.446,NaN
152.209,NaN
151.223,NaN
152.143,NaN
155.088,NaN
152.606,NaN
152.746,NaN
153.421,NaN
156.697,NaN
149.122,NaN
151.886,NaN
153.503,NaN
155.404,NaN
149.446,NaN
150.646,NaN
152.319,NaN
153.246,NaN
150.549,NaN
159.849,NaN
153.166,NaN
154.967,NaN
148.592,NaN
153.023,NaN
151.724,NaN
155.034,NaN
153.121,NaN
150.454,NaN
155.295,NaN
149.535,NaN
152.905,NaN
150.834,NaN
154.657,NaN
151.59,NaN
150.999,NaN
151.695,NaN
151.735,NaN
151.717,NaN
157.58,NaN
149.216,NaN
154.245,NaN
151.482,NaN
158.368,NaN
151.009,NaN
150.394,NaN
153.451,NaN
153.549,NaN
150.325,NaN
161.111,NaN
149.565,NaN
150.141,NaN
152.67,NaN
153.57,NaN
152.304,NaN
157.368,NaN
149.615,NaN
152.389,NaN
155.683,NaN
153.466,NaN
150.921,NaN
151.063,NaN
157.519,NaN
148.947,NaN
150.438,NaN
153.404,NaN
153.991,NaN
151.871,NaN
151.298,NaN
153.037,NaN
160.593,NaN
155.774,NaN
152.367,NaN
159.915,NaN
147.916,NaN
149.192,NaN
151.562,NaN
158.887,NaN
150.047,NaN
150.584,NaN
152.665,NaN
155.48,NaN
149.755,NaN
151.438,NaN
154.536,NaN
149.934,NaN
151.975,NaN
151.78,NaN
152.111,NaN
152.833,NaN
150.9,NaN
152.001,NaN
151.578,NaN
151.981,NaN
155.987,NaN
149.942,NaN
151.847,NaN
152.458,NaN
151.206,NaN
152.317,NaN
155.305,NaN
151.081,NaN
154.2,NaN
156.699,NaN
172.369,NaN
159.788,NaN
154.962,NaN
153.773,NaN
150.01,NaN
152.598,NaN
151.297,NaN
151.277,NaN
151.662,NaN
151.907,NaN
152.701,NaN
152.237,NaN
152.231,NaN
151.412,NaN
152.01,NaN
151.741,NaN
155.251,NaN
150.76,NaN
150.6,NaN
151.204,NaN
152.293,NaN
155.39,NaN
149.913,NaN
151.322,NaN
151.998,NaN
157.543,NaN
149.56,NaN
161.074,NaN
155.619,NaN
149.637,NaN
150.607,NaN
151.974,NaN
154.775,NaN
149.838,NaN
152.03,NaN
151.573,NaN
152.294,NaN
152.586,NaN
155.823,NaN
148.656,NaN
151.54,NaN
151.661,NaN
157.799,NaN
148.894,NaN
152.361,NaN
150.645,NaN
150.934,NaN
152.418,NaN
156.466,NaN
151.245,NaN
151.638,NaN
151.637,NaN
153.896,NaN
154.372,NaN
155.563,NaN
153.409,NaN
154.561,NaN
149.155,NaN
163.954,NaN
153.864,NaN
153.377,NaN
150.984,NaN
152.402,NaN
166.422,NaN
150.093,NaN
149.628,NaN
150.378,NaN
151.486,NaN
152.058,NaN
152.408,NaN
151.082,NaN
159.296,NaN
149.01,NaN
150.041,NaN
153.481,NaN
153.727,NaN
152.347,NaN
153.548,NaN
150.815,NaN
152.755,NaN
155.291,NaN
151.23,NaN
174.741,NaN
173.725,NaN
141.573,NaN
142.419,NaN
